Modèle,Accuracy (Train),Accuracy (Test),Précision,Rappel,F1-Score,CV F1 Score (Moy)
Régression Logistique (LR),0.7964169381107492,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.6412586353201413
Random Forest (RF),1.0,0.7662337662337663,0.7045454545454546,0.5740740740740741,0.6326530612244898,0.6384633806521105
Support Vector Machine (SVM),0.8371335504885994,0.7532467532467533,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.6287932683113406
K-Nearest Neighbors (KNN),0.8338762214983714,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.6272489451476794
Arbre de Décision (DT),1.0,0.6818181818181818,0.5510204081632653,0.5,0.5242718446601942,0.5707260881880842
